depth_ppm,discovery_method,discovery_year,distance_ratio,duration_hours,eccentricity,equilibrium_temp_k,fp_flag_co,fp_flag_ec,fp_flag_nt,fp_flag_ss,impact_parameter,inclination_deg,insolation_flux,label,label_raw,longitude_periastron,mission,object_id,period_days,planet_mass_earth,planet_mass_jupiter,planet_radius_jupiter,planet_radius_rearth,radius_ratio,score,semi_major_axis_au,stellar_age_gyr,stellar_density,stellar_distance_pc,stellar_logg,stellar_luminosity,stellar_mass_msun,stellar_metallicity,stellar_radius_rsun,stellar_teff_k,transit_epoch,transit_ingress_hours,duty_cycle,transit_frequency,planet_radius_from_depth,mission_encoded,stellar_radius_solar,stellar_mass_solar,transit_depth_mag,habitable_zone_inner,habitable_zone_outer,in_habitable_zone,transit_snr,has_radius_measurement,has_mass_measurement,has_stellar_parameters
659.2,,,36.4,4.313,0.0,451.0,0.0,0.0,0.0,0.0,0.75,88.82,9.81,planet,CONFIRMED,,kepler,K03303.01,29.3493852,1.0,,,2.02,0.025674890457409942,0.979,0.1715,4.6,1.05666,100.0,4.613,1.0,0.784,-0.12,0.722,4987.0,148.46564,,0.006123069771605755,0.03407226397369305,0.018537270910249978,0,0.722,0.784,0.0007159533103222979,,,False,25.67489045740994,True,False,True
365.3,,,45.37,4.584,0.0,523.0,0.0,0.0,0.0,0.0,0.036,89.95,17.69,planet,CONFIRMED,,kepler,K02422.01,26.7838935,1.0,,,1.59,0.019112822920751397,1.0,0.1673,4.6,2.46309,100.0,4.512,1.0,0.869,0.14,0.856,5242.0,140.75396,,0.007131151413815172,0.037335871276519224,0.016360576420163194,0,0.856,0.869,0.00039669189578507883,,,False,19.112822920751398,True,False,True
1119.3,,,62.62,6.3212,0.0,543.0,0.0,0.0,0.0,0.0,0.018,89.98,20.59,planet,CONFIRMED,,kepler,K01275.01,50.28635977,1.0,,,3.88,0.033455941176418875,0.936,0.2678,4.6,1.8368,100.0,4.309,1.0,1.012,0.0,1.167,5900.0,167.63351,,0.005237669509942603,0.019886108371610214,0.03904308335288083,0,1.167,1.012,0.0012159451647163213,,,False,33.455941176418875,True,False,True
1597.1,,,40.77,3.7922,0.0,528.0,0.0,0.0,0.0,0.0,0.295,89.59,18.36,planet,CONFIRMED,,kepler,K01480.01,20.38174802,1.0,,,3.16,0.03996373355931599,1.0,0.1345,4.6,3.08596,100.0,4.515,1.0,0.779,0.18,0.808,4883.0,142.31499,,0.007752442684419633,0.04906350520174864,0.032290696715927325,0,0.808,0.779,0.001735415477825044,,,False,39.963733559316005,True,False,True
120.5,,,7.22,1.8707,0.0,1268.0,0.0,0.0,0.0,0.0,0.41,86.74,609.28,planet,CONFIRMED,,kepler,K01961.01,1.907810683,1.0,,,0.91,0.010977249200050075,1.0,0.0295,4.6,1.95858,100.0,4.578,1.0,0.937,0.07,0.824,5435.0,131.63784,,0.04085616776752966,0.5241610233713111,0.009045253340841261,0,0.824,0.937,0.00013083909588717447,,,False,10.977249200050075,True,False,True
542.4,,,18.98,1.843,0.0,758.0,0.0,0.0,0.0,0.0,1.228,86.29,78.19,planet,CONFIRMED,,kepler,K02513.01,19.0054098,1.0,,,28.47,0.023289482604815417,1.0,0.1412,4.6,0.35836,100.0,4.423,1.0,1.032,-0.32,1.036,6347.0,144.15574,,0.00404051622536793,0.05261659761737945,0.02412790397858877,0,1.036,1.032,0.0005890630858154125,,,False,23.28948260481542,True,False,True
601.7,,,55.53,3.792,0.0,573.0,0.0,0.0,0.0,0.0,0.006,89.99,25.56,planet,CONFIRMED,,kepler,K01749.01,26.964501,1.0,,,2.2,0.024529573987332107,1.0,0.1773,4.6,4.45566,100.0,4.534,1.0,1.021,0.07,0.905,5754.0,145.34426,,0.005859555865691711,0.03708579661830197,0.022199264458535557,0,0.905,1.021,0.0006534840948146394,,,False,24.529573987332107,True,False,True
202.6,,,16.46,2.909,0.0,851.0,0.0,0.0,0.0,0.0,0.013,89.95,123.96,planet,CONFIRMED,,kepler,K01305.02,6.18670882,1.0,,,1.21,0.014233762678926468,0.978,0.0617,4.6,2.20428,100.0,4.463,1.0,0.817,0.16,0.878,5114.0,136.63308,,0.019591730734360525,0.16163682970940274,0.012497243632097439,0,0.878,0.817,0.00021999244107090912,,,False,14.23376267892647,True,False,True
297.4,,,3.72,1.1451,0.0,1188.0,0.0,0.0,0.0,0.0,0.403,83.78,473.45,planet,CONFIRMED,,kepler,K02347.01,0.588001053,1.0,,,0.99,0.01724528921183985,0.15,0.0114,4.6,2.81504,100.0,4.687,1.0,0.576,0.24,0.57,3814.0,132.058754,,0.08114356216977726,1.7006772265082999,0.009829814850748714,0,0.57,0.576,0.000322945971741717,,,False,17.245289211839854,True,False,True
987.9,,,26.2,1.431,0.0,760.0,0.0,0.0,0.0,0.0,1.198,87.38,78.99,planet,CONFIRMED,,kepler,K02299.01,16.48686712,1.0,,,27.45,0.03143087653884313,1.0,0.1337,4.6,1.25674,100.0,4.447,1.0,1.173,0.21,1.071,6090.0,139.20338,,0.0036165148639834494,0.060654337341441496,0.033662468773100994,0,1.071,1.173,0.0010731289560479411,,,False,31.430876538843137,True,False,True
2608.1,,,10.4957,2.7316,0.0,1131.0,0.0,0.0,0.0,0.0,0.045,89.76,386.66,planet,CONFIRMED,,kepler,K00953.01,3.584101048,1.0,,,4.66,0.05106956040539217,1.0,0.0462,4.6,1.70266,100.0,4.518,1.0,1.021,0.1,0.922,5739.0,170.427829,,0.031755987105937945,0.27900999068037435,0.047086134693771584,0,0.922,1.021,0.0028354077184117397,,,False,51.069560405392174,True,False,True
