object_id,period_days,duration_hours,depth_ppm,planet_radius_rearth,planet_mass_earth,score,label_raw,stellar_teff_k,stellar_radius_rsun,stellar_logg,stellar_mass_msun,stellar_metallicity,impact_parameter,semi_major_axis_au,inclination_deg,equilibrium_temp_k,insolation_flux,distance_ratio,stellar_density,transit_epoch,eccentricity,longitude_periastron,transit_ingress_hours,radius_ratio,stellar_luminosity,stellar_age_gyr,fp_flag_nt,fp_flag_ss,fp_flag_co,fp_flag_ec,mission,label,stellar_distance_pc,planet_radius_jupiter,planet_mass_jupiter,discovery_year,discovery_method,duty_cycle,transit_frequency,planet_radius_from_depth,mission_encoded,stellar_radius_solar,stellar_mass_solar,transit_depth_mag,habitable_zone_inner,habitable_zone_outer,in_habitable_zone,transit_snr,has_radius_measurement,has_mass_measurement,has_stellar_parameters,multi_planet_system,binary_label
K02784.01,4.14244748,2.203,69.9,1.82,1.0,0.0,FALSE POSITIVE,6785.0,2.124,3.83,1.113,-0.96,0.386,0.0523,88.35,1907.0,3128.33,13.39,2.64528,132.907,0.0,0.0,0.0,0.008360621986431392,1.0,4.6,0.0,0.0,1.0,0.0,kepler,fp,100.0,0.0,0.0,0.0,0,0.02215880034927242,0.24140318129030328,0.017757961099180278,0,2.124,1.113,7.589561329513357e-05,0.0,0.0,False,8.360621986431394,True,False,True,False,not_exoplanet
K03388.01,25.9518795,21.569,1312.3,35.1,1.0,0.0,FALSE POSITIVE,5753.0,1.078,4.335,0.918,-0.1,1.259,0.1667,66.75,645.0,41.0,3.19,0.00091,148.92549,0.0,0.0,0.0,0.03622568149807537,1.0,4.6,0.0,1.0,1.0,1.0,kepler,fp,100.0,0.0,0.0,0.0,0,0.034629797557950794,0.03853285462426719,0.03905128465492525,0,1.078,0.918,0.0014257473303596643,0.0,0.0,False,36.22568149807537,True,False,True,False,not_exoplanet
K04532.01,1.02087831,2.429,33.4,0.64,1.0,0.0,FALSE POSITIVE,5750.0,1.106,4.337,0.968,0.04,0.148,0.0196,87.39,1903.0,3115.14,3.248,0.6218,131.66089,0.0,0.0,0.0,0.0057792733107199555,1.0,4.6,0.0,0.0,1.0,0.0,kepler,fp,100.0,0.0,0.0,0.0,0,0.09913848922241605,0.9795486790193436,0.0063918762816562716,0,1.106,0.968,3.626419485430481e-05,0.0,0.0,False,5.779273310719956,True,False,True,False,not_exoplanet
K03304.01,13.5437884,5.7076,6608.7,32.21,1.0,0.0,FALSE POSITIVE,5463.0,0.794,4.582,0.883,-0.14,1.269,0.1066,82.33,658.0,44.22,9.51,0.0886,135.27623,0.0,0.0,0.0,0.081293911211111,1.0,4.6,0.0,1.0,1.0,0.0,kepler,fp,100.0,0.0,0.0,0.0,0,0.01755909496243065,0.07383458530701793,0.06454736550162214,0,0.794,0.883,0.007199119555778007,0.0,0.0,False,81.29391121111101,True,False,True,False,not_exoplanet
K01935.01,15.44428875,2.0791,3596.2,37.58,1.0,0.0,FALSE POSITIVE,5895.0,0.991,4.489,1.105,0.21,1.275,0.1255,87.04,731.0,67.39,24.7,1.19973,138.1678,0.0,0.0,0.0,0.05996832497243858,1.0,4.6,0.0,1.0,0.0,0.0,kepler,fp,100.0,0.0,0.0,0.0,0,0.005609139279182841,0.06474885416785542,0.05942861004768663,0,0.991,1.105,0.003911562142610658,0.0,0.0,False,59.96832497243857,True,False,True,False,not_exoplanet
K03030.01,7.19552624,4.095,214.6,1.67,1.0,0.0,FALSE POSITIVE,6242.0,1.093,4.432,1.178,0.07,0.593,0.0771,86.93,1037.0,273.05,11.07,0.49509,136.03008,0.0,0.0,0.0,0.014649232061783988,1.0,4.6,0.0,0.0,1.0,0.0,kepler,fp,100.0,0.0,0.0,0.0,0,0.023712650653887404,0.13897524192754523,0.0160116106435299,0,1.093,1.178,0.00023302399390997782,0.0,0.0,False,14.649232061783989,True,False,True,False,not_exoplanet
K07492.01,3.747835042,5.28519,188920.0,141.7,1.0,0.0,FALSE POSITIVE,8529.0,3.065,3.769,2.017,-0.18,0.547,0.0597,85.63,2697.0,12482.82,7.1798,0.49846,134.1877331,0.0,0.0,0.0,0.4346492839060016,1.0,4.6,0.0,1.0,0.0,0.0,kepler,fp,100.0,0.0,0.0,0.0,0,0.058758255774908244,0.2668207081671232,1.3322000551718949,0,3.065,2.017,0.22734076877220472,0.0,0.0,False,434.6492839060016,True,False,True,False,not_exoplanet
K07309.01,9.296746368,6.88069,213840.0,400.4,1.0,0.0,FALSE POSITIVE,6461.0,2.884,3.67,1.418,-0.38,1.623,0.0973,84.36,1552.0,1370.16,16.509,0.98482,135.6856399,0.0,0.0,0.0,0.46242837283194466,1.0,4.6,0.0,1.0,0.0,0.0,kepler,fp,100.0,0.0,0.0,0.0,0,0.03083825301005207,0.10756451347775436,1.3336434272473283,0,2.884,1.418,0.26122264239008064,0.0,0.0,False,462.4283728319446,True,False,True,False,not_exoplanet
K02670.01,170.8658492,16.9895,29841.0,24.4,1.0,0.0,FALSE POSITIVE,5989.0,1.324,4.221,1.063,0.0,0.684,0.6155,89.46,387.0,5.33,72.831,0.25032,299.660385,0.0,0.0,0.0,0.17274547750954292,1.0,4.6,0.0,1.0,0.0,0.0,kepler,fp,100.0,0.0,0.0,0.0,0,0.004142991924060465,0.005852544582091949,0.22871501222263482,0,1.324,1.063,0.03289270772676653,0.0,0.0,False,172.74547750954292,True,False,True,False,not_exoplanet
K04342.01,0.594310785,0.9994,112.5,0.91,1.0,0.0,FALSE POSITIVE,5931.0,0.845,4.554,0.933,-0.34,0.161,0.0135,87.98,2068.0,4338.76,4.57,5.10671,131.7595,0.0,0.0,0.0,0.010606601717798213,1.0,4.6,0.0,0.0,1.0,0.0,kepler,fp,100.0,0.0,0.0,0.0,0,0.07006715630554587,1.6826213241275774,0.00896257845153949,0,0.845,0.933,0.00012215219422501077,0.0,0.0,False,10.606601717798213,True,False,True,False,not_exoplanet
